func,n_neurons,mae
sigm,30,1.1724754513950288
sigm,50,1.1365349954803972
sigm,100,1.0889582848503614
sigm,150,1.0684316463977908
sigm,250,1.041559941969258
sigm,500,1.025914767183159
lin,30,1.1670661057322995
lin,50,1.1271671533903154
lin,100,1.0832051229484272
lin,150,1.092426047868604
lin,250,1.0893660404447885
lin,500,1.0836638303980912
tanh,30,1.1861169672613308
tanh,50,1.1372464598840086
tanh,100,1.0870661935199357
tanh,150,1.0633063935468428
tanh,250,1.0301871099929196
tanh,500,1.0387741705787708
rbf_l1,30,1.79793326309613
rbf_l1,50,1.7944725205830132
rbf_l1,100,1.769972961783
rbf_l1,150,1.8083215928267804
rbf_l1,250,1.7811710881182645
rbf_l1,500,1.635124296922874
rbf_l2,30,1.2007814372368384
rbf_l2,50,1.1354590998210274
rbf_l2,100,1.0817286840632017
rbf_l2,150,1.0593720433590152
rbf_l2,250,1.0438943945899033
rbf_l2,500,1.0327291439605695
rbf_linf,30,1.1952513771501712
rbf_linf,50,1.1079952310174328
rbf_linf,100,1.087962019746511
rbf_linf,150,1.2044537661970267
rbf_linf,250,1.0716391484823293
rbf_linf,500,1.0555028511493603
