estimator,r2_performance_mean,r2_performance_std,svr__C,svr__kernel,vect__analyzer,vect__ngram_range,vect__min_df
SVR_min_df,0.5314688364031768,0.012769086037430905,10,rbf,char,"(1, 5)",0.1
SVR_min_df,0.5132631496346701,0.00903519501922428,10,rbf,char,"(1, 5)",0.2
SVR_min_df,0.4792437060385639,0.016307014701312694,10,rbf,char,"(1, 5)",0.30000000000000004
SVR_min_df,0.422703110102601,0.01948234595021,10,rbf,char,"(1, 5)",0.4
SVR_min_df,0.39586427240242805,0.018539857568304792,10,rbf,char,"(1, 5)",0.5
SVR_min_df,0.3663784058519027,0.019734224543083354,10,rbf,char,"(1, 5)",0.6
SVR_min_df,0.3470079855609707,0.027495338991762514,10,rbf,char,"(1, 5)",0.7000000000000001
SVR_min_df,0.2887961900667868,0.04168550320143647,10,rbf,char,"(1, 5)",0.8
SVR_min_df,0.16208334877974395,0.02060044284965915,10,rbf,char,"(1, 5)",0.9
SVR_min_df,N/A,N/A,10,rbf,char,"(1, 5)",1.0
