min,max,mae,std
0.0,20.0,1.191500050032348,0.04176778356027546
10.0,30.0,1.139590311609009,0.03707676458975413
20.0,40.0,1.1223762925347047,0.03913496065514853
30.0,50.0,1.1200350825601262,0.04043908839989947
40.0,60.0,1.1581670158647182,0.04140827589802638
50.0,70.0,1.118622973118521,0.039698722934370295
60.0,80.0,1.1311346196806737,0.04012327216915837
70.0,90.0,1.0990036166222141,0.04505078564436954
80.0,100.0,1.0345127989353184,0.04155572448625409
90.0,110.0,0.9799309699317568,0.0388655468065296
100.0,120.0,0.9782346471162867,0.03774221662176899
