SVR_MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
1.1361477688748716,2,10,1,15
1.1011103017700254,2,10,1,15
1.1219551543357862,2,10,3,15
1.097400087392239,2,10,3,15
1.1241664760701513,2,10,5,15
1.0862907728238784,2,10,5,15
1.0756176767299401,5,10,1,15
1.0696909262294745,5,10,1,15
1.0880290095233502,5,10,3,15
1.0443582646091014,5,10,3,15
1.0494584217796474,5,10,5,15
1.0216861313177712,5,10,5,15
1.0629502579124908,7,10,1,15
1.0240217327946877,7,10,1,15
1.0453716955955519,7,10,3,15
1.045772919688502,7,10,3,15
1.0399231833464164,7,10,5,15
1.0499171257809745,7,10,5,15
1.0502605466120234,2,30,1,15
1.0452868283653731,2,30,1,15
1.048151716486282,2,30,3,15
1.041853833107338,2,30,3,15
1.0275373451785443,2,30,5,15
0.9998116477138185,2,30,5,15
1.0452883686635956,5,30,1,15
1.036519443121184,5,30,1,15
1.0321220279298222,5,30,3,15
1.005379019526768,5,30,3,15
1.0019282169893517,5,30,5,15
0.9955727775941454,5,30,5,15
1.0434806607269027,7,30,1,15
0.9781942629175283,7,30,1,15
1.0355372289808957,7,30,3,15
1.0179352505505095,7,30,3,15
1.0113666531386913,7,30,5,15
0.9958483582378042,7,30,5,15
1.0262962580019175,2,50,1,15
1.0170778120408648,2,50,1,15
1.024427569594876,2,50,3,15
1.0430415681645862,2,50,3,15
1.0354400418553047,2,50,5,15
1.0207745068632732,2,50,5,15
1.0207813341898901,5,50,1,15
1.0351466168380394,5,50,1,15
1.0063288675711777,5,50,3,15
1.021153187280564,5,50,3,15
1.0341968902265242,5,50,5,15
1.0168167859579877,5,50,5,15
1.0010377649230038,7,50,1,15
0.9949877678703937,7,50,1,15
1.0042744826737893,7,50,3,15
0.9934875519574027,7,50,3,15
0.9880508743416098,7,50,5,15
1.0009169192683838,7,50,5,15
1.0171500103284372,2,80,1,15
1.021106520646965,2,80,1,15
1.0221881864579898,2,80,3,15
0.9838758015398008,2,80,3,15
1.0263443066847568,2,80,5,15
1.0080818665340936,2,80,5,15
1.0142797557404308,5,80,1,15
0.9973995532959969,5,80,1,15
1.0028145368466768,5,80,3,15
1.0043853113460108,5,80,3,15
1.0221870280376968,5,80,5,15
1.004133359773261,5,80,5,15
0.9856652267473972,7,80,1,15
0.9996303703304422,7,80,1,15
0.9944481564864432,7,80,3,15
0.9974407747376824,7,80,3,15
0.9983757254928349,7,80,5,15
0.9931828691747278,7,80,5,15
1.0656227912921974,2,100,1,15
1.0057813764355663,2,100,1,15
1.0312275277469858,2,100,3,15
1.0148760886473487,2,100,3,15
1.0252593919088135,2,100,5,15
1.0312419151195098,2,100,5,15
1.0137350300644612,5,100,1,15
1.0153181889751015,5,100,1,15
0.991955310804163,5,100,3,15
1.0292252021916344,5,100,3,15
0.9784276303240956,5,100,5,15
1.0176299668954196,5,100,5,15
0.9879412523530968,7,100,1,15
1.025787052158009,7,100,1,15
0.989789546552694,7,100,3,15
1.003574019807999,7,100,3,15
1.037311314304853,7,100,5,15
1.0029396001447066,7,100,5,15
1.02998387804246,2,130,1,15
1.022219625410984,2,130,1,15
1.0142910562703928,2,130,3,15
1.008252195245026,2,130,3,15
1.0132853940035675,2,130,5,15
1.0356977316097837,2,130,5,15
1.0182759284539138,5,130,1,15
1.0148924923178098,5,130,1,15
1.012714580148384,5,130,3,15
1.0348728526413415,5,130,3,15
1.0010032622982752,5,130,5,15
0.9887947308271523,5,130,5,15
1.0063254380677626,7,130,1,15
1.036796027835192,7,130,1,15
1.01482420662167,7,130,3,15
1.0170369920943094,7,130,3,15
0.9754503605685034,7,130,5,15
1.020782859373781,7,130,5,15
0.9894992249688441,2,150,1,15
1.0083639080020996,2,150,1,15
1.0016952717122871,2,150,3,15
1.0205517149033054,2,150,3,15
1.0269794933385594,2,150,5,15
1.020738913392089,2,150,5,15
0.9913053706626105,5,150,1,15
1.0611556923850922,5,150,1,15
1.0372947005988418,5,150,3,15
1.0164147187246906,5,150,3,15
1.0295033951663377,5,150,5,15
1.040320396828749,5,150,5,15
1.0095686694223074,7,150,1,15
1.01395707888376,7,150,1,15
1.0138010455598174,7,150,3,15
1.0226943115039817,7,150,3,15
1.0020533247573873,7,150,5,15
1.0563907087623132,7,150,5,15
1.0245554668801349,2,200,1,15
1.0098026687892505,2,200,1,15
1.0102310333044497,2,200,3,15
1.0469930070357494,2,200,3,15
1.0139547362086856,2,200,5,15
1.0361229623789534,2,200,5,15
0.9956086032537736,5,200,1,15
1.0491031743866828,5,200,1,15
1.0127703654060187,5,200,3,15
1.0010138043612347,5,200,3,15
1.0149824895884891,5,200,5,15
1.0170388143218854,5,200,5,15
0.9935566366824131,7,200,1,15
1.021471138984137,7,200,1,15
1.0019018381724698,7,200,3,15
1.010511240513123,7,200,3,15
1.0012738455234336,7,200,5,15
1.054414748189142,7,200,5,15
1.0274816491103018,2,300,1,15
1.0557130357491546,2,300,1,15
0.9848703366934222,2,300,3,15
1.010033115968852,2,300,3,15
1.0295731504707657,2,300,5,15
1.0427121482231585,2,300,5,15
1.0395209525674853,5,300,1,15
1.022144317205405,5,300,1,15
0.9908228194354199,5,300,3,15
1.0532157801401432,5,300,3,15
1.0120070408011155,5,300,5,15
1.001222526551182,5,300,5,15
1.003204583759857,7,300,1,15
1.0304905663713224,7,300,1,15
1.0335715047261678,7,300,3,15
1.0303533603179473,7,300,3,15
1.0068495421610626,7,300,5,15
1.0351807412108722,7,300,5,15
