train_size,filter_rass,mae
1000,False,1.0445359861580978
1000,False,1.0320870783714016
1000,False,1.0400791070320943
1000,False,1.1176304409073057
1000,False,1.1078392029248005
1000,False,1.0599434367543659
1000,True,1.1659258944849222
1000,True,1.1174754414850105
1000,True,1.1270264282611275
1000,True,1.2661133661935111
1000,True,1.2336504478310273
1000,True,1.1484180056412712
2000,False,0.9845460143849794
2000,False,1.0277747908854393
2000,False,1.024567137997567
2000,False,1.0068473916597918
2000,False,1.0612624835838003
2000,False,1.0455871480688532
2000,True,1.0660956394643153
2000,True,1.1444426633260256
2000,True,1.1367075970094858
2000,True,1.0876112965698002
2000,True,1.1154937922059005
2000,True,1.157098517946015
3000,False,0.9463887115097083
3000,False,0.9863829311000835
3000,False,0.9789051457482068
3000,False,0.9965394032513503
3000,False,0.9388671524833637
3000,False,0.9895970856008919
3000,True,1.0243854239037775
3000,True,1.0881356920360274
3000,True,1.0594069478262125
3000,True,1.0942812570324016
3000,True,1.0108403382468574
3000,True,1.063569418543201
